"","x"
"Ruminococcus_bromii",-1.36772406882591
"Bifidobacterium_adolescentis",-1.32854605263158
"Alistipes_putredinis",-1.21815251012146
"Escherichia_coli",-0.959645708502024
"Dorea_longicatena",-0.773964554655871
"Eubacterium_sp_CAG_251",-0.767935829959514
"Alistipes_finegoldii",-0.513194230769231
"Fusicatenibacter_saccharivorans",-0.444951842105263
"Bacteroides_vulgatus",0.445364149797571
"Roseburia_hominis",0.451358643724696
"Bifidobacterium_longum",0.552387550607287
"Ruminococcus_torques",0.572328137651822
"Bacteroides_fragilis",0.668058582995951
"Ruminococcus_sp_CAG_488",0.671871538461538
"Eubacterium_sp_CAG_180",0.904725627530364
"Clostridium_sp_CAG_964",0.964187307692306
"Bacteroides_dorei",1.02227961538461
"Bacteroides_uniformis",1.3722913562753
"Bacteroides_eggerthii",1.6351166194332
"Akkermansia_muciniphila",1.83825706477733
